state,year,expected_years_of_schooling
Alaska,2009,16.83
Arizona,2009,16.24
Arkansas,2009,15.76
California,2009,15.98
Colorado,2009,17.06
Connecticut,2009,16.92
Delaware,2009,16.46
District of Columbia,2009,16.69
Florida,2009,16.02
Georgia,2009,15.4
Hawaii,2009,16.18
Idaho,2009,16.01
Illinois,2009,16.36
Indiana,2009,15.83
Iowa,2009,15.99
Kansas,2009,16.4
Kentucky,2009,15.25
Louisiana,2009,15.28
Maine,2009,16.4
Maryland,2009,16.68
Massachusetts,2009,16.77
Michigan,2009,16.12
Minnesota,2009,16.47
Mississippi,2009,15.09
Missouri,2009,16.05
Montana,2009,16.67
Nebraska,2009,16.33
Nevada,2009,16.34
New Hampshire,2009,16.97
New Jersey,2009,16.57
New Mexico,2009,16.3
New York,2009,16.27
North Carolina,2009,15.81
North Dakota,2009,16.17
Ohio,2009,15.84
Oklahoma,2009,15.6
Oregon,2009,16.39
Pennsylvania,2009,16.09
Rhode Island,2009,16.52
South Carolina,2009,15.5
South Dakota,2009,16.12
Tennessee,2009,15.66
Texas,2009,15.62
Utah,2009,16.62
Vermont,2009,16.76
Virginia,2009,16.37
Washington,2009,16.73
West Virginia,2009,15.21
Wisconsin,2009,16.03
Wyoming,2009,16.27
Alabama,2010,15.9
Alaska,2010,16.89
Arizona,2010,16.3
Arkansas,2010,15.83
California,2010,16.02
Colorado,2010,17.12
Connecticut,2010,16.98
Delaware,2010,16.51
District of Columbia,2010,16.74
Florida,2010,16.08
Georgia,2010,15.46
Hawaii,2010,16.24
Idaho,2010,16.07
Illinois,2010,16.42
Indiana,2010,15.89
Iowa,2010,16.05
Kansas,2010,16.46
Kentucky,2010,15.31
Louisiana,2010,15.34
Maine,2010,16.46
Maryland,2010,16.74
Massachusetts,2010,16.83
Michigan,2010,16.18
Minnesota,2010,16.53
Mississippi,2010,15.15
Missouri,2010,16.11
Montana,2010,16.73
Nebraska,2010,16.39
Nevada,2010,16.4
New Hampshire,2010,17.03
New Jersey,2010,16.63
New Mexico,2010,16.36
New York,2010,16.33
North Carolina,2010,15.87
North Dakota,2010,16.23
Ohio,2010,15.9
Oklahoma,2010,15.66
Oregon,2010,16.45
Pennsylvania,2010,16.15
Rhode Island,2010,16.58
South Carolina,2010,15.56
South Dakota,2010,16.18
Tennessee,2010,15.72
Texas,2010,15.68
Utah,2010,16.68
Vermont,2010,16.82
Virginia,2010,16.44
Washington,2010,16.79
West Virginia,2010,15.27
Wisconsin,2010,16.09
Wyoming,2010,16.33
Alabama,2011,15.98
Alaska,2011,16.9
Arizona,2011,16.34
Arkansas,2011,15.9
California,2011,16.08
Colorado,2011,17.18
Connecticut,2011,17.03
Delaware,2011,16.59
District of Columbia,2011,16.78
Florida,2011,16.14
Georgia,2011,15.53
Hawaii,2011,16.3
Idaho,2011,16.14
Illinois,2011,16.48
Indiana,2011,15.95
Iowa,2011,16.11
Kansas,2011,16.52
Kentucky,2011,15.38
Louisiana,2011,15.41
Maine,2011,16.53
Maryland,2011,16.8
Massachusetts,2011,16.89
Michigan,2011,16.24
Minnesota,2011,16.59
Mississippi,2011,15.22
Missouri,2011,16.17
Montana,2011,16.79
Nebraska,2011,16.45
Nevada,2011,16.46
New Hampshire,2011,17.08
New Jersey,2011,16.69
New Mexico,2011,16.42
New York,2011,16.39
North Carolina,2011,15.94
North Dakota,2011,16.29
Ohio,2011,15.97
Oklahoma,2011,15.73
Oregon,2011,16.51
Pennsylvania,2011,16.21
Rhode Island,2011,16.64
South Carolina,2011,15.62
South Dakota,2011,16.24
Tennessee,2011,15.78
Texas,2011,15.74
Utah,2011,16.74
Vermont,2011,16.88
Virginia,2011,16.5
Washington,2011,16.85
West Virginia,2011,15.34
Wisconsin,2011,16.15
Wyoming,2011,16.39
